route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,direction_name,wheelchair_accessible
900,Saturday,111__64908_Timetable_-_2021-10,Scarborough,1,64908_Timetable_-_2021-10,100.0.995817752_Timetable_-_2021-10,Westbound,1
120,Weekday,1120__12030_Timetable_-_2021-10,Sunbird Trail,0,12030_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
120,Weekday,1122__12024_Timetable_-_2021-10,Sunbird Trail,0,12024_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
120,Weekday,1128__12033_Timetable_-_2021-10,Sunbird Trail,0,12033_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
900,Saturday,112__64911_Timetable_-_2021-10,Oshawa,0,64911_Timetable_-_2021-10,100.0.995817755_Timetable_-_2021-10,Eastbound,1
120,Weekday,1134__12022_Timetable_-_2021-10,Sunbird Trail,0,12022_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
120,Weekday,1138__12028_Timetable_-_2021-10,Sunbird Trail,0,12028_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
120,Weekday,1139__12033_Timetable_-_2021-10,Sunbird Trail,0,12033_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
900,Saturday,113__62907_Timetable_-_2021-10,B - Pickering Town Centre,1,62907_Timetable_-_2021-10,100.0.11522189610_Timetable_-_2021-10,Westbound,1
900,Saturday,114__62905_Timetable_-_2021-10,Oshawa,0,62905_Timetable_-_2021-10,100.0.11903138911_Timetable_-_2021-10,Eastbound,1
216,Weekday,1150__12029_Timetable_-_2021-10,Ajax Station,1,12029_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
224,Weekday,1151__12032_Timetable_-_2021-10,Ajax Station,1,12032_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
216,Weekday,1154__12032_Timetable_-_2021-10,Taunton,0,12032_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
224,Weekday,1156__12029_Timetable_-_2021-10,Taunton,0,12029_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
216,Weekday,1159__12027_Timetable_-_2021-10,Ajax Station,1,12027_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
900,Saturday,115__64910_Timetable_-_2021-10,Scarborough,1,64910_Timetable_-_2021-10,100.0.995817752_Timetable_-_2021-10,Westbound,1
216,Weekday,1160__12027_Timetable_-_2021-10,Ajax Station,1,12027_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
224,Weekday,1164__12029_Timetable_-_2021-10,Taunton,0,12029_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
224,Weekday,1165__12027_Timetable_-_2021-10,Taunton,0,12027_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
224,Weekday,1166__12026_Timetable_-_2021-10,Ajax Station,1,12026_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
224,Weekday,1167__12032_Timetable_-_2021-10,Ajax Station,1,12032_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
900,Saturday,116__64901_Timetable_-_2021-10,Oshawa,0,64901_Timetable_-_2021-10,100.0.995817755_Timetable_-_2021-10,Eastbound,1
224,Weekday,1171__12026_Timetable_-_2021-10,Ajax Station,1,12026_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
224,Weekday,1174__12026_Timetable_-_2021-10,Ajax Station,1,12026_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
224,Weekday,1176__12032_Timetable_-_2021-10,Ajax Station,1,12032_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
224,Weekday,1177__12029_Timetable_-_2021-10,Taunton,0,12029_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
900,Saturday,117__62904_Timetable_-_2021-10,B - Pickering Town Centre,1,62904_Timetable_-_2021-10,100.0.11522189610_Timetable_-_2021-10,Westbound,1
905,Weekday,1181__3107_Timetable_-_2021-10,A - Harmony Terminal,0,3107_Timetable_-_2021-10,100.0.1296989293_Timetable_-_2021-10,Northbound,1
224,Weekday,1188__12029_Timetable_-_2021-10,Taunton,0,12029_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
900,Saturday,118__62907_Timetable_-_2021-10,Oshawa,0,62907_Timetable_-_2021-10,100.0.11903138911_Timetable_-_2021-10,Eastbound,1
216,Weekday,1194__12026_Timetable_-_2021-10,Taunton,0,12026_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
216,Weekday,1197__12032_Timetable_-_2021-10,Taunton,0,12032_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
216,Weekday,1198__12026_Timetable_-_2021-10,Taunton,0,12026_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
900,Saturday,119__64902_Timetable_-_2021-10,Scarborough,1,64902_Timetable_-_2021-10,100.0.995817752_Timetable_-_2021-10,Westbound,1
224,Weekday,1200__12027_Timetable_-_2021-10,Taunton,0,12027_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
224,Weekday,1201__12026_Timetable_-_2021-10,Ajax Station,1,12026_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
216,Weekday,1202__12026_Timetable_-_2021-10,Taunton,0,12026_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
224,Weekday,1204__12032_Timetable_-_2021-10,Ajax Station,1,12032_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
224,Weekday,1206__12029_Timetable_-_2021-10,Taunton,0,12029_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
224,Weekday,1207__12026_Timetable_-_2021-10,Ajax Station,1,12026_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
900,Saturday,120__64908_Timetable_-_2021-10,Oshawa,0,64908_Timetable_-_2021-10,100.0.995817755_Timetable_-_2021-10,Eastbound,1
216,Weekday,1210__12026_Timetable_-_2021-10,Taunton,0,12026_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
224,Weekday,1211__12029_Timetable_-_2021-10,Taunton,0,12029_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
224,Weekday,1212__12027_Timetable_-_2021-10,Taunton,0,12027_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
224,Weekday,1213__12027_Timetable_-_2021-10,Taunton,0,12027_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
216,Weekday,1217__12027_Timetable_-_2021-10,Ajax Station,1,12027_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
224,Weekday,1219__12026_Timetable_-_2021-10,Ajax Station,1,12026_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
900,Saturday,121__62906_Timetable_-_2021-10,B - Pickering Town Centre,1,62906_Timetable_-_2021-10,100.0.11522189610_Timetable_-_2021-10,Westbound,1
224,Weekday,1224__12029_Timetable_-_2021-10,Taunton,0,12029_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
216,Weekday,1227__12026_Timetable_-_2021-10,Taunton,0,12026_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
224,Weekday,1229__12032_Timetable_-_2021-10,Ajax Station,1,12032_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
900,Saturday,122__62904_Timetable_-_2021-10,Oshawa,0,62904_Timetable_-_2021-10,100.0.11903138911_Timetable_-_2021-10,Eastbound,1
216,Weekday,1230__12027_Timetable_-_2021-10,Ajax Station,1,12027_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
224,Weekday,1232__12032_Timetable_-_2021-10,Ajax Station,1,12032_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
224,Weekday,1234__12026_Timetable_-_2021-10,Ajax Station,1,12026_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
216,Weekday,1235__12032_Timetable_-_2021-10,Taunton,0,12032_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
216,Weekday,1236__12029_Timetable_-_2021-10,Ajax Station,1,12029_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
216,Weekday,1238__12027_Timetable_-_2021-10,Ajax Station,1,12027_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
900,Saturday,123__64911_Timetable_-_2021-10,Scarborough,1,64911_Timetable_-_2021-10,100.0.995817752_Timetable_-_2021-10,Westbound,1
216,Weekday,1242__12029_Timetable_-_2021-10,Ajax Station,1,12029_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
216,Weekday,1243__12026_Timetable_-_2021-10,Taunton,0,12026_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
224,Weekday,1246__12027_Timetable_-_2021-10,Taunton,0,12027_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
224,Weekday,1249__12032_Timetable_-_2021-10,Ajax Station,1,12032_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
900,Saturday,124__64910_Timetable_-_2021-10,Oshawa,0,64910_Timetable_-_2021-10,100.0.995817755_Timetable_-_2021-10,Eastbound,1
216,Weekday,1250__12027_Timetable_-_2021-10,Ajax Station,1,12027_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
216,Weekday,1251__12027_Timetable_-_2021-10,Ajax Station,1,12027_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
224,Weekday,1252__12026_Timetable_-_2021-10,Ajax Station,1,12026_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
224,Weekday,1253__12032_Timetable_-_2021-10,Ajax Station,1,12032_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
216,Weekday,1254__12029_Timetable_-_2021-10,Ajax Station,1,12029_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
224,Weekday,1256__12032_Timetable_-_2021-10,Ajax Station,1,12032_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
216,Weekday,1257__12027_Timetable_-_2021-10,Ajax Station,1,12027_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
216,Weekday,1258__12029_Timetable_-_2021-10,Ajax Station,1,12029_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
216,Weekday,1259__12029_Timetable_-_2021-10,Ajax Station,1,12029_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
900,Saturday,125__62905_Timetable_-_2021-10,B - Pickering Town Centre,1,62905_Timetable_-_2021-10,100.0.11522189610_Timetable_-_2021-10,Westbound,1
224,Weekday,1261__12026_Timetable_-_2021-10,Ajax Station,1,12026_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
224,Weekday,1263__12032_Timetable_-_2021-10,Ajax Station,1,12032_Timetable_-_2021-10,100.0.1190313706_Timetable_-_2021-10,Westbound,1
216,Weekday,1265__12029_Timetable_-_2021-10,Ajax Station,1,12029_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
224,Weekday,1266__12026_Timetable_-_2021-10,Ajax Station,1,12026_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
216,Weekday,1267__12026_Timetable_-_2021-10,Taunton,0,12026_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
