stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1224:1,1224,Highway 2 Eastbound @ Darlington Boulevard,,43.906907,-78.808273,,,0,,,1
1225:1,1225,Highway 2 Eastbound @ Old Kingston,,43.907393,-78.803827,,,0,,,1
1226:1,1226,Courtice Southbound @ Highway 2,,43.910864,-78.777544,,,0,,,2
1227:1,1227,Sandringham Westbound @ Short,,43.909137,-78.778369,,,0,,,1
1228:1,1228,Avondale Southbound @ Stagemaster,,43.907937,-78.779807,,,0,,,1
1229:1,1229,Avondale Southbound @ Brownstone,,43.90579242,-78.780964,,,0,,,1
1230:1,1230,Avondale Southbound @ Farmington,,43.904046,-78.781861,,,0,,,1
1231:1,1231,Trulls Northbound @ Avondale,,43.903403,-78.784876,,,0,,,1
1232:1,1232,Northbound @ 2501 Trulls,,43.90456300000001,-78.785437,,,0,,,1
1233:1,1233,Sandringham Westbound @ Bushford,,43.9059139,-78.78781669999998,,,0,,,1
1234:1,1234,Sandringham Westbound @ Yorkville,,43.90300993000001,-78.790682,,,0,,,1
1242:1,1242,King Eastbound @ Simcoe,,43.89762300000001,-78.863176,,,0,,,2
1244:1,1244,Highway 2 Eastbound @ Prestonvale,,43.908429,-78.797456,,,0,,,1
1245:1,1245,Highway 2 Eastbound @ Trulls,,43.910829,-78.787906,,,0,,,1
1257:1,1257,Olive Westbound @ Elmridge,,43.89510700000001,-78.83126799999998,,,0,,,1
1258:1,1258,Olive Westbound @ Poplar,,43.894441,-78.834343,,,0,,,1
1259:1,1259,Olive Westbound @ Baldwin,,43.89386600000001,-78.836928,,,0,,,1
125:1,125,Taunton Eastbound @ Cochrane,,43.912852,-78.96736199999998,,,0,,,2
1260:1,1260,Olive Westbound @ Wilson,,43.893383,-78.839031,,,0,,,1
1261:1,1261,Olive Westbound @ Highland,,43.892828,-78.841487,,,0,,,1
1262:1,1262,Olive Westbound @ Lasalle,,43.892535,-78.842817,,,0,,,1
1263:1,1263,Olive Westbound @ Verdun,,43.891779,-78.846057,,,0,,,1
1264:1,1264,Olive Westbound @ Ritson,,43.890989,-78.849481,,,0,,,2
1265:1,1265,Olive Westbound @ Drew,,43.89046,-78.851768,,,0,,,2
1266:1,1266,Olive Westbound @ Court,,43.889641,-78.855284,,,0,,,1
1267:1,1267,Albert Northbound @ Barrie,,43.890098,-78.857947,,,0,,,2
1276:1,1276,Gibb Westbound @ Montrave,,43.8881292,-78.87118169999998,,,0,,,1
1277:1,1277,Gibb Westbound @ Grenfell,,43.887291,-78.874471,,,0,,,1
1278:1,1278,Westbound @ 450 Gibb,,43.88680200000001,-78.87697,,,0,,,1
1280:1,1280,Gibb Westbound @ Stevenson,,43.88595200000001,-78.880912,,,0,,,1
1281:1,1281,Gibb Westbound @ Waverly,,43.885118,-78.884574,,,0,,,1
1282:1,1282,Gibb Westbound @ Vancouver,,43.884493,-78.887244,,,0,,,1
1283:1,1283,Gibb Eastbound @ Vancouver,,43.884355,-78.88744699999998,,,0,,,1
1284:1,1284,Gibb Eastbound @ Waverley,,43.885076,-78.884308,,,0,,,1
1285:1,1285,Gibb Eastbound @ Stevenson,,43.885932,-78.88051299999998,,,0,,,1
1286:1,1286,Gibb Eastbound @ Stevenson (East side stop),,43.88625932,-78.87870599999998,,,0,,,1
1287:1,1287,Eastbound @ 431 Gibb,,43.886764,-78.876312,,,0,,,1
1288:1,1288,Gibb Eastbound @ Grenfell,,43.887267,-78.874165,,,0,,,1
1289:1,1289,Gibb Eastbound @ Montrave,,43.88775900000001,-78.87204699999998,,,0,,,1
1296:1,1296,Elm Eastbound @ Celina,,43.890744,-78.859464,,,0,,,1
1297:1,1297,Olive Eastbound @ Court,,43.889552,-78.855367,,,0,,,1
1298:1,1298,Olive Eastbound @ Drew,,43.890302,-78.852093,,,0,,,1
1299:1,1299,Olive Eastbound @ Oshawa Boulevard,,43.891187,-78.848202,,,0,,,1
1300:1,1300,Olive Eastbound @ Lasalle,,43.89248,-78.842598,,,0,,,1
1301:1,1301,Olive Eastbound @ Highland,,43.892801,-78.841125,,,0,,,1
1302:1,1302,Olive Eastbound @ Windsor,,43.893281,-78.839043,,,0,,,1
1303:1,1303,Olive Eastbound @ Guelph,,43.89384600000001,-78.836642,,,0,,,1
1304:1,1304,Olive Eastbound @ Poplar,,43.894358,-78.834306,,,0,,,1
1305:1,1305,Olive Eastbound @ Elmridge,,43.89498,-78.831355,,,0,,,1
1342:1,1342,Glenabbey Westbound @ Auburn,,43.89545963,-78.801444,,,0,,,1
1343:1,1343,Glenabbey Westbound @ Bruntsfield,,43.894379,-78.804111,,,0,,,1
1353:1,1353,Northbound @ 1185 Mary,,43.928625,-78.873907,,,0,,,1
